2001    0    20
3772  200   100
2002    1    10
1111   80    53
2005    2    10
3788  230     1
2007    3     4 
1006   71    20
4431  438    10
4451  456    40
1008   72     2
1010   80    21
7999  456     2
1011   80    32
3779  230     4
 007    0     6
3777  230     3
9999  456   300
3784  230     2
3795  230    40
8119  350     9
8129  351     6
5001  401     1
5002  402     1
5007  403     3
5000  400     2
4411  420    10
4421  429    10
7919  461     1
7909  458     2
4441  447    10
7989  460     2
7979  461     1
7929  462     2
   1  500   190
  77  501    10
